unit_id,town,county,buildable_area_sq_km,excluded_area_sq_km,climate_safe_suitability_score,suitability_tier,housing_need_score,social_vulnerability_score,infrastructure_access_score,flood_exposure_score,environmental_constraint_score,review_notes
grid5km_2300905700_4642,Blue Hill,Hancock,17.3713881937167000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300508430_2379,Brunswick,Cumberland,24.3655302016485000,0E-24,70.54,strong candidate for parcel screening,54.89,37.09,59.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300508430_2593,Brunswick,Cumberland,20.9395405971476000,0E-24,70.54,strong candidate for parcel screening,54.89,37.09,59.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300508430_2592,Brunswick,Cumberland,9.6844058654759100,0E-24,70.54,strong candidate for parcel screening,54.89,37.09,59.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1717,York,York,6.4580606022295900,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1934,York,York,5.5057017352101000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2038,York,York,7.3207622635456100,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2253,York,York,10.4176726648227000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2040,York,York,10.8809413455205000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1612,York,York,3.4504619491569600,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1611,York,York,9.5862151105220800,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2146,York,York,25.0000000000000000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2147,York,York,12.0855848815634000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1720,York,York,8.4879537060436000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1719,York,York,23.9219665518314000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1718,York,York,25.0000000000000000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2254,York,York,1.1895105324444600,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2039,York,York,23.6100389503758000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2252,York,York,2.7307155070980200,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2145,York,York,16.1611839417672000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_2041,York,York,0.86011307479475900000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303187985_1931,York,York,19.8180383059226000,0E-24,70.54,strong candidate for parcel screening,60.28,31.46,52.0,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300102060_1845,Auburn,Androscoggin,6.3661020382767200,0E-24,70.42,strong candidate for parcel screening,63.01,48.69,54.63,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300102060_2058,Auburn,Androscoggin,0.57789303528227200000,0E-24,70.42,strong candidate for parcel screening,63.01,48.69,54.63,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300160020_1739,Poland,Androscoggin,21.5384225350447000,0E-24,70.39,strong candidate for parcel screening,69.0,42.39,49.53,4.67475366806743,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300582105_2053,Westbrook,Cumberland,0.63614902060312300000,0E-24,70.38,strong candidate for parcel screening,51.15,33.55,61.29,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_1728,Saco,York,0.69223500448117300000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_1835,Saco,York,15.8938112079477000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_1942,Saco,York,6.9116208430135600,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_1727,Saco,York,3.5396643821461200,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_1834,Saco,York,23.5822496740717000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_2368,Saco,York,0.33422795353897700000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_2261,Saco,York,14.7573147553973000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2303164675_2154,Saco,York,12.2128890132654000,0E-24,70.37,strong candidate for parcel screening,53.19,32.27,58.81,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
