town,county,acs_population,future_livability_score,investor_opportunity_score,essential_needs_score,median_household_income,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,future_lane,missing_needs
Gray,Cumberland,8429,71.35,39.06,31.79,95236.0,3.55,2.98,19.27,14.07,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Jefferson,Lincoln,2647,71.04,28.86,25.72,85078.0,3.39,1.17,18.66,10.06,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Turner,Androscoggin,5891,70.86,42.1,33.99,100036.0,3.03,0.0,27.24,18.62,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Edgecomb,Lincoln,1251,70.76,30.76,35.57,108750.0,5.6,0.74,24.54,14.39,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Holden,Penobscot,3352,70.76,29.22,26.83,92200.0,3.15,5.65,15.13,5.44,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Pownal,Cumberland,1696,70.69,35.08,34.29,104333.0,5.54,0.99,23.47,13.01,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
North Berwick,York,5129,70.6,41.63,36.4,101875.0,4.43,4.94,20.9,12.67,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Hollis,York,4872,70.49,30.73,28.48,95950.0,5.69,0.5,16.79,10.77,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Arundel,York,4418,70.48,31.43,29.96,101597.0,5.85,2.04,15.87,9.87,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
West Bath,Sagadahoc,1863,70.13,38.47,37.17,103333.0,3.17,4.05,29.36,12.13,"selective housing, local services, outdoor economy, and community infrastructure","age-friendly housing, home care, clinics, and senior transportation"
Hampden,Penobscot,7896,69.88,42.36,37.72,111959.0,7.48,3.28,17.19,12.89,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Standish,Cumberland,10662,69.88,39.35,32.94,104593.0,7.33,2.14,15.18,10.48,"balanced residential growth, local retail, and commuter/workforce services","housing supply, climate resilience, and service-capacity monitoring"
Limington,York,4017,69.82,32.71,30.52,84675.0,3.41,1.5,22.08,13.47,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Winterport,Waldo,3850,69.74,33.95,33.73,98333.0,5.65,0.94,19.01,15.78,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Central Aroostook UT,Aroostook,268,69.68,24.5,32.06,88750.0,0.0,0.0,29.48,22.39,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
China,Kennebec,4526,69.52,35.78,35.58,96309.0,5.99,3.64,21.41,9.52,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Hermon,Penobscot,6727,69.51,41.07,35.75,96629.0,6.83,2.89,20.38,9.96,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Freeport,Cumberland,8802,69.5,46.11,39.29,107326.0,8.55,1.91,26.71,7.14,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Dedham,Hancock,1656,69.49,35.64,37.49,111442.0,9.0,2.18,18.72,9.42,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Hope,Knox,1748,69.49,31.83,30.63,86766.0,5.33,1.29,21.11,9.53,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Minot,Androscoggin,2794,69.36,34.64,34.61,95655.0,6.23,2.14,21.3,10.84,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Eliot,York,7146,69.35,45.37,38.42,101522.0,4.8,1.81,27.76,15.74,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Waterboro,York,8055,69.27,34.49,27.56,89392.0,5.96,1.13,14.81,8.93,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Berwick,York,8175,69.19,40.45,35.1,94771.0,4.16,6.06,17.19,12.18,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Otis,Hancock,705,69.19,29.43,35.58,101250.0,7.8,1.02,20.85,10.73,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Argyle UT,Penobscot,286,68.93,20.96,29.99,102250.0,5.59,0.0,13.99,16.78,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Raymond,Cumberland,4610,68.87,34.81,33.93,88194.0,5.33,2.69,22.21,10.37,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Readfield,Kennebec,2651,68.87,33.34,32.38,86504.0,5.03,1.27,22.29,12.0,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Manchester,Kennebec,2424,68.83,35.38,35.52,92031.0,4.46,3.46,22.57,13.16,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Smithfield,Somerset,856,68.82,34.03,40.33,107917.0,5.84,2.91,29.67,11.57,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Tremont,Hancock,1508,68.76,32.96,32.71,88803.0,6.65,1.71,21.35,7.76,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Saco,York,20819,68.7,47.09,39.25,92241.0,6.39,5.43,18.5,12.34,"balanced residential growth, local retail, and commuter/workforce services",dense mixed-use housing and frequent local mobility options
Sidney,Kennebec,4790,68.66,31.17,29.59,83488.0,6.43,0.37,18.39,9.25,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Yarmouth,Cumberland,9053,68.61,46.05,42.23,110216.0,10.23,2.25,20.24,11.53,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Litchfield,Kennebec,3680,68.52,33.26,33.1,84904.0,4.27,3.95,19.08,11.98,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Shapleigh,York,2976,68.52,34.66,33.72,88140.0,5.31,1.14,24.09,11.96,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Beddington,Washington,38,68.22,36.36,52.9,146500.0,0.0,0.0,47.37,44.74,"premium age-friendly housing, health services, and high-amenity living","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Orrington,Penobscot,3853,68.21,36.43,36.44,94556.0,6.64,0.49,23.77,13.96,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Palermo,Waldo,1473,68.0,29.38,35.41,89095.0,4.76,1.67,21.18,17.31,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Ogunquit,York,1379,67.98,40.3,46.06,114259.0,3.19,4.05,43.58,13.13,"premium age-friendly housing, health services, and high-amenity living","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Lebanon,York,6629,67.83,36.15,31.43,97750.0,7.38,2.25,12.91,9.79,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Rockport,Knox,3675,67.56,36.56,36.72,86979.0,5.34,3.87,24.22,10.13,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Perry,Washington,744,67.53,28.02,33.47,82056.0,4.3,0.68,20.97,18.11,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Edinburg,Penobscot,172,67.39,21.86,29.57,69583.0,1.74,0.0,23.84,18.6,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Searsmont,Waldo,1646,67.38,33.93,34.91,87000.0,6.64,0.3,20.96,14.5,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Kennebunk,York,11820,67.37,52.9,46.85,107804.0,7.33,4.77,29.99,12.63,"balanced residential growth, local retail, and commuter/workforce services","age-friendly housing, home care, clinics, and senior transportation"
Sorrento,Hancock,345,67.3,23.82,34.51,83438.0,5.8,2.82,22.61,9.28,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Bowerbank,Piscataquis,211,67.19,27.47,38.07,93125.0,3.79,0.0,33.65,17.06,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Hartford,Oxford,1314,66.85,27.53,33.58,87115.0,7.4,0.95,17.88,11.57,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
South Portland,Cumberland,26930,66.81,53.5,45.77,86838.0,6.94,7.82,20.72,13.24,"balanced residential growth, local retail, and commuter/workforce services",dense mixed-use housing and frequent local mobility options
Limerick,York,3400,66.61,36.96,40.29,101172.0,6.91,3.31,17.09,18.32,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Chapman,Aroostook,388,66.6,26.46,38.61,93125.0,6.44,0.0,27.58,15.58,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Bowdoinham,Sagadahoc,3142,66.57,39.04,42.69,108479.0,13.46,0.0,21.39,7.13,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Glenburn,Penobscot,4737,66.43,31.88,33.05,97474.0,7.13,1.81,11.99,14.65,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Hebron,Oxford,1105,66.32,30.07,38.22,92550.0,8.9,0.91,19.55,12.9,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Cushing,Knox,1460,66.26,29.34,36.39,83500.0,7.74,2.19,20.55,9.75,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Newcastle,Lincoln,1913,66.26,39.49,42.33,89868.0,3.49,7.07,24.36,16.43,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Bradley,Penobscot,1645,66.2,33.18,34.63,76667.0,4.56,2.02,19.51,17.36,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
West Gardiner,Kennebec,3696,66.07,35.32,37.89,96172.0,9.04,0.0,17.26,15.99,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Wells,York,11713,66.05,48.75,41.3,88024.0,6.78,1.22,30.97,13.01,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Long Island,Cumberland,249,65.96,28.69,43.15,91250.0,4.42,8.65,28.92,7.63,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Lisbon,Androscoggin,9750,65.95,39.31,34.47,77819.0,5.33,4.22,16.18,12.91,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Matinicus Isle,Knox,48,65.94,27.34,30.93,65417.0,0.0,0.0,52.08,2.08,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Levant,Penobscot,3069,65.9,33.55,35.24,86071.0,9.0,0.0,18.12,11.44,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Harpswell,Cumberland,5046,65.76,50.98,43.87,96250.0,5.56,1.92,38.6,12.2,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Wayne,Kennebec,1101,65.71,33.37,40.52,93194.0,7.9,0.56,29.25,11.63,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Westbrook,Cumberland,20775,65.7,48.61,42.69,85038.0,7.97,6.0,18.06,12.09,"balanced residential growth, local retail, and commuter/workforce services",dense mixed-use housing and frequent local mobility options
Mount Vernon,Kennebec,1716,65.59,35.37,35.46,74395.0,4.82,1.77,26.46,12.49,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Clinton,Kennebec,3385,65.58,34.81,35.97,71458.0,2.57,2.01,21.39,23.37,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Topsham,Sagadahoc,9706,65.54,48.52,44.68,91028.0,6.41,4.76,24.38,16.81,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Owls Head,Knox,1482,65.3,34.15,40.76,87325.0,5.71,2.24,31.92,12.14,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Warren,Knox,4932,65.19,28.3,27.79,74616.0,6.02,2.01,12.04,9.5,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Blaine,Aroostook,706,65.12,28.27,35.77,80707.0,5.69,0.0,18.13,21.53,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Lamoine,Hancock,1782,65.0,38.49,41.08,88542.0,8.92,2.84,25.48,7.74,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Phippsburg,Sagadahoc,2238,64.88,46.67,49.94,107833.0,7.55,4.67,34.41,13.05,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Sebec,Piscataquis,547,64.85,29.02,36.59,74545.0,5.3,0.79,20.66,19.93,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Prospect,Waldo,923,64.74,30.46,39.49,81250.0,7.28,3.46,19.83,13.43,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Exeter,Penobscot,1093,64.72,31.59,39.89,84408.0,8.14,1.57,23.88,12.35,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Kennebunkport,York,3684,64.64,48.05,50.47,102747.0,4.57,5.68,36.94,17.81,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Morrill,Waldo,914,64.57,28.09,35.5,74250.0,6.26,1.93,18.49,14.93,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Osborn,Hancock,88,64.52,33.71,54.32,127083.0,9.09,0.0,31.82,29.55,"premium age-friendly housing, health services, and high-amenity living","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Westport Island,Lincoln,835,64.46,35.89,42.83,87564.0,4.47,1.52,35.93,16.89,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Alexander,Washington,553,64.37,32.78,44.32,93750.0,6.64,5.15,18.44,19.82,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Bowdoin,Sagadahoc,3188,64.34,32.76,35.53,91239.0,10.95,0.0,14.12,9.79,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Charleston,Penobscot,1117,64.27,23.37,28.41,75250.0,6.36,1.81,11.55,10.32,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Mount Desert,Hancock,1671,64.27,42.64,46.3,92813.0,7.43,6.65,29.14,8.08,"selective housing, local services, outdoor economy, and community infrastructure","age-friendly housing, home care, clinics, and senior transportation"
Merrill,Aroostook,372,64.26,19.18,27.81,65536.0,5.65,2.4,13.98,8.06,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Cyr,Aroostook,59,64.25,29.61,42.53,88125.0,5.08,0.0,37.29,16.95,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Nobleboro,Lincoln,1906,64.24,42.4,46.5,100417.0,10.44,1.79,27.91,11.75,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Baldwin,Cumberland,1170,64.14,29.79,35.15,68045.0,6.42,0.38,27.69,9.57,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Amherst,Hancock,424,64.13,24.79,37.22,72656.0,6.13,1.05,24.29,14.86,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Hudson,Penobscot,1305,64.0,27.4,34.24,67933.0,6.51,0.18,18.85,15.94,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Georgetown,Sagadahoc,1012,63.97,34.65,41.92,84250.0,6.32,1.03,33.1,13.83,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Bristol,Lincoln,2917,63.95,48.15,48.87,100750.0,6.42,1.8,42.78,13.88,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Chelsea,Kennebec,2823,63.89,38.47,42.33,85471.0,8.69,0.78,22.56,17.3,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
North Haven,Knox,480,63.76,28.79,42.87,87500.0,8.75,1.94,32.5,6.88,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
South Thomaston,Knox,1381,63.66,36.81,45.09,86838.0,4.23,2.45,34.76,19.84,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Carthage,Franklin,845,63.61,25.58,32.88,79107.0,3.55,5.78,10.65,16.8,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Perham,Aroostook,326,63.61,24.43,36.42,62500.0,2.45,2.24,24.54,21.17,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Bradford,Penobscot,1254,63.53,32.35,42.71,82955.0,9.01,3.78,21.45,11.24,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Brunswick,Cumberland,22336,63.4,53.02,47.36,74952.0,7.7,6.84,22.95,13.74,"balanced residential growth, local retail, and commuter/workforce services",dense mixed-use housing and frequent local mobility options
Springfield,Penobscot,310,63.28,23.44,35.66,60833.0,5.48,3.03,21.61,12.26,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Mapleton,Aroostook,1884,63.07,39.32,45.76,91731.0,8.93,4.6,18.31,16.83,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Maxfield,Penobscot,76,63.07,23.39,38.06,92500.0,8.57,0.0,13.16,21.05,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Buckfield,Oxford,2403,63.02,33.43,37.24,77917.0,5.78,6.55,13.73,12.65,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Union,Knox,2663,63.02,37.91,42.38,80724.0,10.23,2.08,21.37,11.17,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Steuben,Washington,1388,62.88,29.36,38.8,76466.0,5.44,4.67,15.92,18.23,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Lyman,York,4612,62.66,42.24,46.53,87284.0,8.95,1.45,26.06,18.32,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Bremen,Lincoln,917,62.65,39.31,50.68,100000.0,9.38,3.33,34.13,12.21,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
St. George,Knox,2606,62.55,46.38,48.27,89155.0,7.67,4.79,39.22,5.87,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Roque Bluffs,Washington,369,62.53,28.42,45.27,89375.0,11.17,0.71,26.29,11.65,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Dixmont,Penobscot,1207,62.44,31.21,41.81,75952.0,7.87,2.06,19.39,18.69,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Plymouth,Penobscot,1319,62.34,28.55,37.04,61964.0,6.54,4.93,18.42,9.82,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Portland,Cumberland,68854,62.33,71.02,57.62,79540.0,11.21,15.4,16.87,12.66,"urban infill, car-light rentals, local services, and workforce mobility","reliable non-car transportation, local services, and car-light housing; dense mixed-use housing and frequent local mobility options"
Castine,Hancock,1362,62.12,38.69,55.91,113750.0,14.14,6.53,19.9,12.92,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Monmouth,Kennebec,4162,61.97,36.91,41.54,74648.0,9.3,2.17,18.4,14.86,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Orland,Hancock,1915,61.92,38.54,41.43,69348.0,7.11,1.76,27.47,14.05,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Lovell,Oxford,1353,61.85,34.04,44.37,80625.0,10.01,1.01,26.53,12.71,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Industry,Franklin,988,61.84,30.19,39.12,63056.0,6.88,1.68,22.27,15.89,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Cornish,York,1803,61.78,35.34,40.17,69038.0,6.27,4.85,17.42,16.25,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Eddington,Penobscot,2223,61.77,40.04,44.14,75350.0,6.68,1.01,26.45,21.82,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
